epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,144.269,0.33294,0.88728,1,0.26245,0.00055323,0.00055323,0.00055323
2,168.135,0.19669,0.86994,1,0.28791,0.000999115,0.000999115,0.000999115
3,188.574,0.18211,0.95472,1,0.11448,0.00133498,0.00133498,0.00133498
4,208.586,0.16877,0.95857,1,0.11328,0.0011719,0.0011719,0.0011719
5,229.04,0.14106,0.97399,1,0.07546,0.00100687,0.00100687,0.00100687
6,248.992,0.12119,0.97206,1,0.07187,0.000841835,0.000841835,0.000841835
7,268.32,0.09884,0.96435,1,0.09375,0.000676802,0.000676802,0.000676802
8,288.919,0.08684,0.97784,1,0.05914,0.000511769,0.000511769,0.000511769
9,309.552,0.0839,0.9711,1,0.07625,0.000346736,0.000346736,0.000346736
10,330.011,0.07067,0.98266,1,0.04643,0.000181703,0.000181703,0.000181703
