epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,179.746,0.9172,1.58883,1.40714,0.68117,0.79053,0.84569,0.59019,1.00998,1.80839,1.47764,0.000552299,0.000552299,0.000552299
2,236.676,0.7835,0.70551,1.25265,0.78418,0.86076,0.91047,0.53258,1.30664,0.9645,1.70185,0.000998277,0.000998277,0.000998277
3,291.259,0.7421,0.59155,1.21097,0.67451,0.78062,0.69357,0.52223,0.83707,1.25594,1.2749,0.00133423,0.00133423,0.00133423
4,345.177,0.69445,0.51584,1.15708,0.9486,0.9309,0.98507,0.83037,0.68274,0.45762,1.1434,0.0011719,0.0011719,0.0011719
5,399.364,0.61654,0.44544,1.09855,0.95826,0.93864,0.98271,0.82755,0.63198,0.44323,1.09438,0.00100687,0.00100687,0.00100687
6,453.531,0.59764,0.41622,1.07381,0.98685,0.92107,0.99037,0.84535,0.63701,0.40216,1.12849,0.000841835,0.000841835,0.000841835
7,508.07,0.5586,0.36229,1.0483,0.96897,0.9716,0.99085,0.86222,0.58132,0.361,1.04516,0.000676802,0.000676802,0.000676802
8,562.543,0.52616,0.33116,1.01174,0.98544,0.97337,0.99239,0.88085,0.54887,0.32385,1.03024,0.000511769,0.000511769,0.000511769
9,616.626,0.49642,0.30088,0.99654,0.97183,0.9859,0.99258,0.87545,0.55601,0.30618,1.03032,0.000346736,0.000346736,0.000346736
10,670.479,0.4666,0.27645,0.97196,0.97163,0.99329,0.99452,0.88907,0.51822,0.26941,1.00313,0.000181703,0.000181703,0.000181703
